ZINC000100029668
ZINC000013720993
ZINC000007778863
ZINC000007778864
ZINC000008747542
ZINC000585124997
ZINC000585125041
ZINC000069775809
ZINC000072401926
ZINC000091907742
ZINC000006787863
ZINC000013610577
ZINC000426707395
ZINC000013683128
ZINC000065427367
ZINC000005347562
ZINC000005347563
ZINC000225605479
ZINC000009305987
ZINC000072400801
ZINC000072403963
ZINC000080337447
ZINC000170616348
ZINC000299758462
ZINC000013726620
ZINC000012360256
ZINC000009052644
ZINC000670472360
ZINC000013735937
ZINC000009874810
ZINC000170060620
ZINC000170060623
ZINC000033002036
ZINC000013725845
ZINC000222991280
ZINC000008703034
ZINC000095482714
ZINC000072403626
ZINC000186860635
ZINC000220732907
ZINC000007166360
ZINC000004192335
ZINC000226040586
ZINC000009875259
ZINC000013725873
ZINC000072401905
ZINC000013693457
ZINC000408712730
ZINC000058367602
ZINC000040119549
ZINC000033585038
ZINC000009134552
ZINC000013726441
ZINC000097370265
ZINC000299760612
ZINC000124646200
ZINC000124646470
ZINC000191335210
ZINC000019349798
ZINC000012418516
ZINC000072402027
ZINC000095384135
ZINC000072400562
ZINC000012878551
ZINC000009157542
ZINC000077459349
ZINC000009874132
ZINC000009874820
ZINC000013691383
ZINC000022783046
ZINC000426613683
ZINC000096833030
ZINC000096833029
ZINC001772814559
ZINC000022783051
ZINC000020804767
ZINC000020804770
ZINC000013733145
